注册日期,号码,手机品牌,品牌
2001/2/21,166019240446,诺基亚,神州行
2002/1/14,166538769887,诺基亚,神州行
2002/3/22,166751406986,诺基亚,动感地带
2001/6/30,166920771114,三星,动感地带
2002/3/8,166724609189,诺基亚,神州行
2002/2/8,166712449620,索尼爱立信,神州行
2001/11/30,166412190887,诺基亚,神州行
2002/3/4,166724532778,索尼爱立信,神州行
2001/11/15,166537235483,诺基亚,神州行
2002/2/5,166412331560,诺基亚,动感地带
2001/3/22,166015331330,三星,神州行
2001/10/12,166538687062,诺基亚,神州行
2002/1/3,166528036041,索尼爱立信,神州行
2001/12/3,166431356212,索尼爱立信,神州行
2001/11/9,166724715099,索尼爱立信,神州行
2002/7/8,166423272264,国威,神州行
2002/1/22,166528031363,诺基亚,神州行
2002/3/10,166662980268,诺基亚,神州行
2001/11/9,166422037049,诺基亚,动感地带
2002/1/7,166818601135,诺基亚,动感地带
2002/5/30,166751622978,索尼爱立信,动感地带
2001/7/4,166424905690,诺基亚,动感地带
2001/12/3,166412137908,诺基亚,神州行
2002/2/12,166434666601,诺基亚,神州行
2001/5/2,166713105849,诺基亚,动感地带
2001/10/7,166437507354,诺基亚,神州行
2001/3/7,166539167188,诺基亚,神州行
2001/9/11,166428744112,索尼爱立信,神州行
2001/2/26,166423412271,LG,神州行
2002/5/8,166992857678,诺基亚,神州行
2002/6/24,166016993946,三星,神州行
2002/8/3,166434720031,诺基亚,神州行
2001/5/18,166549625219,诺基亚,神州行
2001/4/25,166528074594,诺基亚,神州行
2002/1/2,166580900619,诺基亚,神州行
2001/10/27,166670013593,摩托罗拉,神州行
2002/3/17,166652718655,天时达,神州行
2001/10/27,166650598333,诺基亚,神州行
2002/5/26,166686254414,索尼爱立信,神州行
2001/5/21,166099892461,美菱,动感地带
2002/6/5,166925679987,诺基亚,动感地带
2001/4/12,166920354715,诺基亚,动感地带
2001/6/14,166816977930,诺基亚,动感地带
2001/7/28,166925709895,诺基亚,动感地带
2001/2/6,166686153975,诺基亚,神州行
2001/2/18,166728255432,诺基亚,神州行
2001/2/11,166532648454,诺基亚,神州行
2001/5/25,166695089594,索尼爱立信,神州行
2001/2/25,166669979365,诺基亚,神州行
2001/6/14,166556879956,诺基亚,神州行
